Origen,Destino,km
BASE SOTELO CHIHUAHUA,FLETES SOTELO,375
BASE SOTELO CHIHUAHUA,GYSA JUAREZ JDC,375
BASE SOTELO CHIHUAHUA,GYSA OBREGON PDC,1131
"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",TE CONNECTIVITY HERMOSILLO,800
"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",GYSA OBREGON PDC,1021
FLETES SOTELO,APTIV GUAMUCHIL FV52,1330
FLETES SOTELO,APTIV MOCHIS FV59,1224
FLETES SOTELO,BASE SOTELO CHIHUAHUA,375
FLETES SOTELO,GYSA ASCENCION,200
FLETES SOTELO,GYSA BACUM,1004
FLETES SOTELO,GYSA ETCHOJOA,1118
FLETES SOTELO,GYSA OBREGON 1,1021
FLETES SOTELO,GYSA OBREGON 2,1021
FLETES SOTELO,GYSA OBREGON PDC,1021
FLETES SOTELO,HUNGAROS / NOGALES,600
FLETES SOTELO,YARDA SOTELO OBREGON,1021
FLETES SOTELO,YAZAKI COMPONENTES PLANTA 3,375
GYSA  CDJ,YARDA SOTELO OBREGON,1021
GYSA BACUM,GYSA NAVOJOA,112
GYSA BACUM,GYSA OBREGON (CDO2),45
GYSA BACUM,GYSA OBREGON 2,45
GYSA BACUM,GYSA OBREGON ODC,45
GYSA BACUM,GYSA OBREGON PDC,45
GYSA ETCHOJOA,FLETES SOTELO,1118
GYSA ETCHOJOA,GYSA  CDJ,1118
GYSA ETCHOJOA,GYSA OBREGON ODC,97
GYSA ETCHOJOA,GYSA OBREGON PDC,97
GYSA JUAREZ JDC,GYSA OBREGON 2,1021
GYSA NAVOJOA,GYSA OBREGON ODC,67
GYSA NAVOJOA,GYSA OBREGON PDC,67
GYSA OBREGON 2,GYSA ETCHOJOA,97
GYSA OBREGON ODC,GYSA BACUM,45
GYSA OBREGON ODC,GYSA ETCHOJOA,97
GYSA OBREGON ODC,GYSA NAVOJOA,67
GYSA OBREGON PDC,GYSA BACUM,45
GYSA OBREGON PDC,GYSA ETCHOJOA,97
GYSA OBREGON PDC,GYSA NAVOJOA,67
TRANSERVICIOS CHIHUAHUA,TRANSERVICIOS CD JUAREZ,375
YARDA SOTELO OBREGON,FLETES SOTELO,1021
YARDA SOTELO OBREGON,GYSA  CDJ,1021
YARDA SOTELO OBREGON,GYSA ETCHOJOA,97
YAZAKI COMPONENTES PLANTA 3,GYSA JUAREZ JDC,1131
YAZAKI COMPONENTES PLANTA 3,GYSA OBREGON PDC,1131
FLETES SOTELO,APTIV GUAMUCHIL FV52,1330
FLETES SOTELO,ARNPRIOR AEROSPACE CHIHUAHUA,375
FLETES SOTELO,BASE SOTELO CHIHUAHUA,375
FLETES SOTELO,CESSNA PLANTA 4.1,375
FLETES SOTELO,DEMINSA SA DE CV,800
FLETES SOTELO,DTR,375
FLETES SOTELO,FOKKER,375
FLETES SOTELO,GYSA ASCENCION,200
FLETES SOTELO,GYSA OBREGON 2,1021
FLETES SOTELO,GYSA OBREGON PDC,1021
FLETES SOTELO,IMPULSORA GANE,375
FLETES SOTELO,SAFRAN CABIN,375
FLETES SOTELO,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),375
FLETES SOTELO,SMTC PLANTA 1,375
FLETES SOTELO,SOUTHCO.,375
FLETES SOTELO,XOMOX CHIHUAHUA S.A DE C.V.,375
FLETES SOTELO,XYLEM,375
FLETES SOTELO,YARDA SOTELO OBREGON,1021
FLETES SOTELO,YAZAKI COMPONENTES PLANTA 2,375
FREIG CARRILLO / NOGALES AZ,GYSA  CDJ,800
PRECOS ZARAGOZA,BASE SOTELO CHIHUAHUA,375
PRECOS ZARAGOZA,DTR,375
PRECOS ZARAGOZA,FOKKER,375
PRECOS ZARAGOZA,SAFRAN CABIN,375
PRECOS ZARAGOZA,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),375
PRECOS ZARAGOZA,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),375
PRECOS ZARAGOZA,SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),375
PRECOS ZARAGOZA,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),375
PRECOS ZARAGOZA,SMTC PLANTA 1,375
PRECOS ZARAGOZA,SOUTHCO.,375
PRECOS ZARAGOZA,WIREMASTERS,375
PRECOS ZARAGOZA,XYLEM,375
PRECOS ZARAGOZA,YAZAKI COMPONENTES PLANTA 2,375
CASETA DE VILLA AHUMADA,PRECOS ZARAGOZA,130
CENTURY MOLD MEXICO S DE RL DE CV,FLETES SOTELO,375
CESSNA PLANTA 4.1,BASE SOTELO CHIHUAHUA,375
GYSA JUAREZ JDC,BASE SOTELO CHIHUAHUA,375
GYSA ASCENCION,FLETES SOTELO,200
YARDA SOTELO OBREGON,FLETES SOTELO,1021
YARDA SOTELO OBREGON,GYSA BACUM,45
YARDA SOTELO OBREGON,GYSA ETCHOJOA,97
YARDA SOTELO OBREGON,GYSA NAVOJOA,67
YAZAKI COMPONENTES PLANTA 3,FLETES SOTELO,375
YAZAKI COMPONENTES PLANTA 3,GYSA OBREGON PDC,1131
